Year,Month,Live births,Date
2000,January,7306,2000-01-01
2000,February,7441,2000-02-01
2000,March,8001,2000-03-01
2000,April,7931,2000-04-01
2000,May,8186,2000-05-01
2000,June,7815,2000-06-01
2000,July,8000,2000-07-01
2000,August,7768,2000-08-01
2000,September,7490,2000-09-01
2000,October,7267,2000-10-01
2000,November,6770,2000-11-01
2000,December,6466,2000-12-01
2001,January,7677,2001-01-01
2001,February,7288,2001-02-01
2001,March,8237,2001-03-01
2001,April,8217,2001-04-01
2001,May,8437,2001-05-01
2001,June,7765,2001-06-01
2001,July,8103,2001-07-01
2001,August,7928,2001-08-01
2001,September,7526,2001-09-01
2001,October,7427,2001-10-01
2001,November,6497,2001-11-01
2001,December,6364,2001-12-01
2002,January,7807,2002-01-01
2002,February,7483,2002-02-01
2002,March,8448,2002-03-01
2002,April,8799,2002-04-01
2002,May,8745,2002-05-01
2002,June,8088,2002-06-01
2002,July,8317,2002-07-01
2002,August,8274,2002-08-01
2002,September,8038,2002-09-01
2002,October,8058,2002-10-01
2002,November,6898,2002-11-01
2002,December,6860,2002-12-01
2003,January,8049,2003-01-01
2003,February,7826,2003-02-01
2003,March,8619,2003-03-01
2003,April,8767,2003-04-01
2003,May,8656,2003-05-01
2003,June,8528,2003-06-01
2003,July,9186,2003-07-01
2003,August,8481,2003-08-01
2003,September,8355,2003-09-01
2003,October,8231,2003-10-01
2003,November,7215,2003-11-01
2003,December,7244,2003-12-01
2004,January,8400,2004-01-01
2004,February,8117,2004-02-01
2004,March,8978,2004-03-01
2004,April,8912,2004-04-01
2004,May,8794,2004-05-01
2004,June,8936,2004-06-01
2004,July,9150,2004-07-01
2004,August,8772,2004-08-01
2004,September,8252,2004-09-01
2004,October,7927,2004-10-01
2004,November,7374,2004-11-01
2004,December,7316,2004-12-01
2005,January,8277,2005-01-01
2005,February,7797,2005-02-01
2005,March,8953,2005-03-01
2005,April,8961,2005-04-01
2005,May,9207,2005-05-01
2005,June,8760,2005-06-01
2005,July,9026,2005-07-01
2005,August,8968,2005-08-01
2005,September,8424,2005-09-01
2005,October,8230,2005-10-01
2005,November,7299,2005-11-01
2005,December,7444,2005-12-01
2006,January,8543,2006-01-01
2006,February,8434,2006-02-01
2006,March,9714,2006-03-01
2006,April,9248,2006-04-01
2006,May,9486,2006-05-01
2006,June,9095,2006-06-01
2006,July,9538,2006-07-01
2006,August,9302,2006-08-01
2006,September,8692,2006-09-01
2006,October,8767,2006-10-01
2006,November,7725,2006-11-01
2006,December,7369,2006-12-01
2007,January,8777,2007-01-01
2007,February,8356,2007-02-01
2007,March,9518,2007-03-01
2007,April,9353,2007-04-01
2007,May,9739,2007-05-01
2007,June,9132,2007-06-01
2007,July,9688,2007-07-01
2007,August,9373,2007-08-01
2007,September,8834,2007-09-01
2007,October,8922,2007-10-01
2007,November,8009,2007-11-01
2007,December,7720,2007-12-01
2008,January,9089,2008-01-01
2008,February,8852,2008-02-01
2008,March,9332,2008-03-01
2008,April,9791,2008-04-01
2008,May,9734,2008-05-01
2008,June,9391,2008-06-01
2008,July,10137,2008-07-01
2008,August,9477,2008-08-01
2008,September,9024,2008-09-01
2008,October,8796,2008-10-01
2008,November,7826,2008-11-01
2008,December,7852,2008-12-01
2009,January,8930,2009-01-01
2009,February,8385,2009-02-01
2009,March,9779,2009-03-01
