year,Live births,Date,Live births pct,Live births pct stand
1749,59483,1749-12-31,0.0,-0.06445789330383199
1750,64511,1750-12-31,0.08452835263856895,1.554876757594052
1751,69291,1751-12-31,0.07409589062330446,1.3550189973496456
1752,64973,1752-12-31,-0.06231689541210261,-1.2582810890389
1753,66007,1753-12-31,0.01591430286426676,0.24041711334845553
1754,68759,1754-12-31,0.04169254776008602,0.7342585747764485
1755,70008,1755-12-31,0.0181648947774109,0.28353236824485767
1756,67987,1756-12-31,-0.028868129356644956,-0.6174931851863291
1757,61675,1757-12-31,-0.09284127847970935,-1.8430457231020805
1758,63262,1758-12-31,0.025731657884069614,0.428491086961887
1759,63865,1759-12-31,0.009531788435395594,0.1181453967953175
1760,68384,1760-12-31,0.07075863148829553,1.2910861371003424
1761,67324,1761-12-31,-0.015500701918577442,-0.36140942431638196
1762,68268,1762-12-31,0.014021745588497447,0.20416083388958217
1763,68231,1763-12-31,-0.0005419816019218704,-0.07484079514380905
1764,67988,1764-12-31,-0.003561431021090078,-0.13268528067399987
1765,65872,1765-12-31,-0.03112313937753719,-0.6606930790795242
1766,67061,1766-12-31,0.018050157881952966,0.28133431960494243
1767,70744,1767-12-31,0.05492014732855166,0.9876636117941077
1768,67719,1768-12-31,-0.04275981001922424,-0.883620220127011
1769,66954,1769-12-31,-0.011296681876578174,-0.28087176902588545
1770,67172,1770-12-31,0.0032559667831646433,-0.0020823746811578494
1771,65988,1771-12-31,-0.017626391949026377,-0.4021318969060526
1772,58972,1772-12-31,-0.10632236164151054,-2.101306820285463
1773,51164,1773-12-31,-0.1324018178118429,-2.600918675183039
1774,68520,1774-12-31,0.33922289109530146,6.434135357142848
1775,71642,1775-12-31,0.04556333917104505,0.8084124706291855
1776,66869,1776-12-31,-0.06662293068311886,-1.3407730802428484
1777,67693,1777-12-31,0.012322600906249592,0.17160981668689546
1778,71901,1778-12-31,0.0621630006056757,1.1264170941098708
1779,76387,1779-12-31,0.062391343653078524,1.1307915294018025
1780,75122,1780-12-31,-0.01656040949376203,-0.38171055574447016
1781,71130,1781-12-31,-0.05314022523361994,-1.0824809044142463
1782,68488,1782-12-31,-0.03714325882187541,-0.7760222877350456
1783,64969,1783-12-31,-0.05138126387104314,-1.0487839613756151
1784,67605,1784-12-31,0.04057319644753643,0.7128148306319245
1785,67497,1785-12-31,-0.0015975149767029073,-0.09506196018023977
1786,70935,1786-12-31,0.05093559713765061,0.9113304053496731
1787,68328,1787-12-31,-0.03675195601607106,-0.7685259841557962
1788,74019,1788-12-31,0.08328942746750956,1.5311423016778885
1789,70127,1789-12-31,-0.05258109404342126,-1.071769462839631
1790,66710,1790-12-31,-0.04872588304076886,-0.9979140454767558
1791,71613,1791-12-31,0.07349722680257842,1.3435502174801766
1792,81063,1792-12-31,0.13195928113610655,2.463525082597336
1793,77033,1793-12-31,-0.04971441964891499,-1.0168517336403564
1794,76429,1794-12-31,-0.007840795503225917,-0.21466633168743607
1795,72947,1795-12-31,-0.04555862303575864,-0.937237908838363
1796,79446,1796-12-31,0.08909208055163331,1.6423054429547435
1797,80374,1797-12-31,0.011680890164388336,0.15931637421804062
1798,78593,1798-12-31,-0.02215890710926416,-0.4889626303296216
1799,75274,1799-12-31,-0.042230224065756494,-0.8734747853905032
1800,67555,1800-12-31,-0.10254536759040311,-2.028949828196128
1801,70629,1801-12-31,0.04550366368144476,0.8072692496257876
1802,74963,1802-12-31,0.06136289626074265,1.1110892585417982
1803,74644,1803-12-31,-0.004255432680122184,-0.14598047570822234
1804,76443,1804-12-31,0.024101066395155746,0.39725336355862034
1805,76552,1805-12-31,0.0014258990358828605,-0.03714152376141366
1806,74581,1806-12-31,-0.025747204514578348,-0.5577047049681486
1807,75842,1807-12-31,0.0169077915286735,0.2594496695184196
1808,73963,1808-12-31,-0.02477519052767596,-0.539083545546307
1809,64300,1809-12-31,-0.13064640428322272,-2.5672896990487923
1810,78916,1810-12-31,0.2273094867807155,4.290177172112946
1811,84862,1811-12-31,0.0753459374524812,1.3789665141596121
1812,81079,1812-12-31,-0.04457825646343472,-0.9184567364673101
1813,72021,1813-12-31,-0.111718200767153,-2.2046765062437874
1814,75837,1814-12-31,0.05298454617403259,0.9505827280197265
1815,85239,1815-12-31,0.12397642311800317,2.310595110600999
1816,87644,1816-12-31,0.028214784312345254,0.4760610743371327
1817,83821,1817-12-31,-0.04361964310163846,-0.9000922967838838
1818,85714,1818-12-31,0.02258383937199504,0.36818739675351625
1819,84250,1819-12-31,-0.017080056933523102,-0.39166559543456725
1820,84841,1820-12-31,0.007014836795252277,0.06992740983246004
1821,92072,1821-12-31,0.08523001850520395,1.5683187781200254
1822,94309,1822-12-31,0.02429620297158741,0.40099165266528863
1823,98259,1823-12-31,0.041883595415071806,0.7379185312056729
1824,93577,1824-12-31,-0.04764957917340906,-0.9772949739710861
1825,100315,1825-12-31,0.07200487299229508,1.3149607541704582
1826,97125,1826-12-31,-0.03179983053381852,-0.6736566516929401
1827,88138,1827-12-31,-0.0925302445302445,-1.8370871537433746
1828,95354,1828-12-31,0.08187161042909974,1.5039807613513252
1829,99488,1829-12-31,0.04335423789248494,0.7660920640904337
1830,94626,1830-12-31,-0.048870215503377334,-1.000679065149512
1831,88253,1831-12-31,-0.0673493543000867,-1.3546893923140937
1832,89862,1832-12-31,0.018231674843914636,0.2848116937291854
1833,100309,1833-12-31,0.11625603703456422,2.16269339108354
1834,100231,1834-12-31,-0.0007775972245760432,-0.07935455331070715
1835,98144,1835-12-31,-0.02082190140774809,-0.4633492166840193
1836,96857,1836-12-31,-0.013113384414737528,-0.3156748768422001
1837,94616,1837-12-31,-0.023137202267260015,-0.5077041200037676
1838,90565,1838-12-31,-0.04281516868182966,-0.8846807423989596
1839,91363,1839-12-31,0.00881135096339647,0.10434376307365022
1840,98160,1840-12-31,0.07439554305353369,1.3607595275782514
1841,95734,1841-12-31,-0.02471475142624291,-0.5379256958051892
1842,100976,1842-12-31,0.05475588610107174,0.9845168108787438
1843,99154,1843-12-31,-0.01804389161781017,-0.41013006153716486
1844,104693,1844-12-31,0.055862597575488726,1.0057184099059084
1845,103660,1845-12-31,-0.009866944303821623,-0.2534818634973242
1846,99703,1846-12-31,-0.03817287285355975,-0.7957469082500839
1847,99179,1847-12-31,-0.0052556091592028675,-0.16514115232182747
1848,102524,1848-12-31,0.0337268978311942,0.5816582632344589
1849,112304,1849-12-31,0.09539229838866992,1.7630005793587529
1850,110399,1850-12-31,-0.016962886451061365,-0.38942092584868276
1851,111065,1851-12-31,0.006032663339341937,0.05111162245815324
1852,108305,1852-12-31,-0.024850312879845182,-0.5405226866643733
1853,111407,1853-12-31,0.028641336965052444,0.4842326696587005
1854,120107,1854-12-31,0.07809204089509625,1.4315744299744473
1855,115072,1855-12-31,-0.04192095381618055,-0.8675500037521864
1856,115082,1856-12-31,8.690211345929733e-05,-0.0627930838148477
1857,119349,1857-12-31,0.037077909664413156,0.645854587990755
1858,129039,1858-12-31,0.08119045823592996,1.4909317273348783
1859,131605,1859-12-31,0.019885460984663483,0.3164937639375116
1860,133162,1860-12-31,0.01183085749021684,0.1621893426320232
1861,126634,1861-12-31,-0.04902299454799419,-1.0036058984918936
1862,131584,1862-12-31,0.039089028223068034,0.6843821810105637
1863,134279,1863-12-31,0.020481213521400754,0.32790677147859065
1864,136004,1864-12-31,0.012846387000201132,0.18164414179933316
1865,134281,1865-12-31,-0.012668745036910734,-0.307156788778337
1866,136989,1866-12-31,0.020166665425488395,0.3218808805770753
1867,128832,1867-12-31,-0.05954492696493874,-1.205177669682305
1868,114955,1868-12-31,-0.10771392200695484,-2.127965353762571
1869,117677,1869-12-31,0.023678830846853183,0.3891644722829228
1870,119838,1870-12-31,0.018363826406179617,0.2873433602915399
1871,127333,1871-12-31,0.0625427660675244,1.133692373378773
1872,126983,1872-12-31,-0.0027486982950216676,-0.11711551947365245
1873,131643,1873-12-31,0.03669782569320312,0.638573206943818
1874,133249,1874-12-31,0.01219966120492555,0.1692546244690097
1875,135958,1875-12-31,0.020330358952037164,0.3250168058778027
1876,135890,1876-12-31,-0.0005001544594653851,-0.07403950020532325
