,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
α,0.914,0.008,0.899,0.929,0.0,0.0,765.0,970.0,1.0
beta_jabs[0],-0.004,0.031,-0.062,0.051,0.001,0.001,603.0,1015.0,1.01
beta_jabs[1],-0.004,0.03,-0.066,0.048,0.001,0.001,587.0,1095.0,1.01
beta_jabs[2],-0.004,0.03,-0.06,0.05,0.001,0.001,575.0,1123.0,1.01
beta_jabs[3],-0.004,0.03,-0.061,0.048,0.001,0.001,570.0,1060.0,1.01
beta_jabs[4],-0.004,0.029,-0.059,0.049,0.001,0.001,560.0,1141.0,1.01
beta_jabs[5],-0.004,0.029,-0.061,0.047,0.001,0.001,552.0,1148.0,1.01
beta_jabs[6],-0.004,0.029,-0.056,0.048,0.001,0.001,540.0,912.0,1.01
beta_jabs[7],-0.004,0.028,-0.057,0.046,0.001,0.001,516.0,910.0,1.01
beta_jabs[8],-0.004,0.028,-0.054,0.048,0.001,0.001,496.0,1027.0,1.01
beta_jabs[9],-0.004,0.027,-0.055,0.044,0.001,0.001,498.0,871.0,1.01
beta_jabs[10],-0.004,0.027,-0.057,0.042,0.001,0.001,482.0,855.0,1.01
beta_jabs[11],-0.004,0.026,-0.053,0.044,0.001,0.001,469.0,755.0,1.01
beta_jabs[12],-0.004,0.026,-0.052,0.043,0.001,0.001,463.0,782.0,1.01
beta_jabs[13],-0.004,0.025,-0.055,0.041,0.001,0.001,472.0,731.0,1.01
beta_jabs[14],-0.003,0.025,-0.049,0.045,0.001,0.001,459.0,665.0,1.01
beta_jabs[15],-0.003,0.025,-0.05,0.043,0.001,0.001,434.0,596.0,1.01
beta_jabs[16],-0.003,0.024,-0.046,0.045,0.001,0.001,432.0,641.0,1.01
beta_jabs[17],-0.003,0.024,-0.045,0.043,0.001,0.001,432.0,715.0,1.01
beta_jabs[18],-0.003,0.023,-0.05,0.037,0.001,0.001,428.0,738.0,1.01
beta_jabs[19],-0.003,0.023,-0.047,0.038,0.001,0.001,419.0,789.0,1.01
beta_jabs[20],-0.004,0.022,-0.046,0.036,0.001,0.001,420.0,775.0,1.01
beta_jabs[21],-0.004,0.022,-0.046,0.035,0.001,0.001,417.0,794.0,1.01
beta_jabs[22],-0.005,0.021,-0.043,0.034,0.001,0.001,437.0,925.0,1.01
beta_jabs[23],-0.006,0.02,-0.045,0.031,0.001,0.001,431.0,789.0,1.01
beta_jabs[24],-0.007,0.02,-0.043,0.031,0.001,0.001,428.0,750.0,1.01
beta_jabs[25],-0.009,0.019,-0.044,0.027,0.001,0.001,422.0,688.0,1.01
beta_jabs[26],-0.011,0.019,-0.046,0.025,0.001,0.001,434.0,727.0,1.01
beta_jabs[27],-0.012,0.019,-0.046,0.022,0.001,0.001,418.0,674.0,1.01
beta_jabs[28],-0.013,0.018,-0.049,0.019,0.001,0.001,401.0,668.0,1.01
beta_jabs[29],-0.013,0.018,-0.047,0.021,0.001,0.001,407.0,823.0,1.01
beta_jabs[30],-0.014,0.018,-0.048,0.02,0.001,0.001,394.0,684.0,1.0
beta_jabs[31],-0.014,0.018,-0.046,0.02,0.001,0.001,370.0,750.0,1.01
beta_jabs[32],-0.015,0.018,-0.05,0.016,0.001,0.001,355.0,771.0,1.0
beta_jabs[33],-0.016,0.018,-0.048,0.017,0.001,0.001,348.0,673.0,1.01
beta_jabs[34],-0.017,0.017,-0.049,0.016,0.001,0.001,355.0,840.0,1.01
beta_jabs[35],-0.02,0.018,-0.052,0.013,0.001,0.001,340.0,827.0,1.01
beta_jabs[36],-0.023,0.018,-0.054,0.012,0.001,0.001,325.0,701.0,1.01
beta_jabs[37],-0.024,0.019,-0.057,0.012,0.001,0.001,307.0,558.0,1.01
beta_jabs[38],-0.027,0.019,-0.064,0.008,0.001,0.001,323.0,718.0,1.01
beta_jabs[39],-0.028,0.02,-0.064,0.01,0.001,0.001,320.0,644.0,1.01
beta_jabs[40],-0.027,0.021,-0.068,0.009,0.001,0.001,309.0,725.0,1.01
beta_jabs[41],-0.026,0.022,-0.071,0.009,0.001,0.001,309.0,620.0,1.01
beta_jabs[42],-0.027,0.023,-0.069,0.015,0.001,0.001,326.0,686.0,1.01
beta_jabs[43],-0.027,0.024,-0.075,0.013,0.001,0.001,320.0,542.0,1.01
beta_jabs[44],-0.028,0.025,-0.074,0.017,0.001,0.001,331.0,615.0,1.01
beta_jabs[45],-0.028,0.025,-0.076,0.017,0.001,0.001,341.0,610.0,1.01
beta_jabs[46],-0.028,0.026,-0.076,0.021,0.001,0.001,352.0,601.0,1.01
beta_jabs[47],-0.026,0.026,-0.079,0.02,0.001,0.001,370.0,650.0,1.01
beta_cpi[0],0.0,0.034,-0.066,0.061,0.002,0.001,449.0,864.0,1.01
beta_cpi[1],0.0,0.034,-0.057,0.07,0.002,0.001,435.0,874.0,1.01
beta_cpi[2],0.0,0.033,-0.06,0.065,0.002,0.001,429.0,900.0,1.01
beta_cpi[3],0.0,0.033,-0.056,0.066,0.002,0.001,419.0,763.0,1.01
beta_cpi[4],-0.0,0.032,-0.06,0.06,0.002,0.001,406.0,814.0,1.01
beta_cpi[5],-0.0,0.032,-0.056,0.063,0.002,0.001,401.0,751.0,1.01
beta_cpi[6],-0.0,0.032,-0.056,0.062,0.002,0.001,400.0,712.0,1.01
beta_cpi[7],0.0,0.032,-0.057,0.058,0.002,0.001,389.0,716.0,1.01
beta_cpi[8],0.0,0.031,-0.056,0.058,0.002,0.001,375.0,736.0,1.01
beta_cpi[9],0.0,0.031,-0.058,0.055,0.002,0.001,364.0,730.0,1.01
beta_cpi[10],0.0,0.03,-0.056,0.056,0.002,0.001,357.0,628.0,1.01
beta_cpi[11],0.0,0.03,-0.055,0.055,0.002,0.001,351.0,594.0,1.01
